hidden,D_eff,params_M,compute_PxD,wall_s,avg_gpu_W,net_energy_Wh,final_eval_json,progress_jsonl,power_csv
128,9,0.694,6.2459999999999996,251.7,148.6,10.05,"{""all/accuracy"": 0.6744068264961243, ""all/exact_accuracy"": 0.0546875, ""all/lm_loss"": 0.7626667022705078, ""all/q_halt_accuracy"": 0.982421875, ""all/q_halt_loss"": 0.044211696833372116, ""all/steps"": 16.0}",progress_h128_d9.jsonl,pw_h128_d9.csv
128,18,0.694,12.491999999999999,255.8,150.4,10.3478,"{""all/accuracy"": 0.6484857201576233, ""all/exact_accuracy"": 0.02734375, ""all/lm_loss"": 0.8682399988174438, ""all/q_halt_accuracy"": 0.9921875, ""all/q_halt_loss"": 0.02749129943549633, ""all/steps"": 16.0}",progress_h128_d18.jsonl,pw_h128_d18.csv
128,36,0.694,24.983999999999998,276.2,151.6,11.263,"{""all/accuracy"": 0.6297743320465088, ""all/exact_accuracy"": 0.001953125, ""all/lm_loss"": 0.8963260650634766, ""all/q_halt_accuracy"": 0.998046875, ""all/q_halt_loss"": 0.015239610336720943, ""all/steps"": 16.0}",progress_h128_d36.jsonl,pw_h128_d36.csv
256,9,1.484,13.356,242.9,159.2,10.4146,"{""all/accuracy"": 0.6566357612609863, ""all/exact_accuracy"": 0.025390625, ""all/lm_loss"": 0.799934446811676, ""all/q_halt_accuracy"": 1.0, ""all/q_halt_loss"": 0.0006711318274028599, ""all/steps"": 16.0}",progress_h256_d9.jsonl,pw_h256_d9.csv
256,18,1.484,26.712,247.3,159.6,10.6289,"{""all/accuracy"": 0.6109664440155029, ""all/exact_accuracy"": 0.0, ""all/lm_loss"": 0.8976569771766663, ""all/q_halt_accuracy"": 1.0, ""all/q_halt_loss"": 0.0005188528448343277, ""all/steps"": 16.0}",progress_h256_d18.jsonl,pw_h256_d18.csv
256,36,1.484,53.424,265.0,160.8,11.4815,"{""all/accuracy"": 0.5629822611808777, ""all/exact_accuracy"": 0.0, ""all/lm_loss"": 1.1017231941223145, ""all/q_halt_accuracy"": 1.0, ""all/q_halt_loss"": 4.040263593196869e-05, ""all/steps"": 16.0}",progress_h256_d36.jsonl,pw_h256_d36.csv
384,9,2.666,23.994,265.3,137.6,9.7861,"{""all/accuracy"": 0.6249276399612427, ""all/exact_accuracy"": 0.005859375, ""all/lm_loss"": 0.8613651990890503, ""all/q_halt_accuracy"": 0.994140625, ""all/q_halt_loss"": 0.03739152103662491, ""all/steps"": 16.0}",progress_h384_d9.jsonl,pw_h384_d9.csv
384,18,2.666,47.988,278.1,135.1,10.0651,"{""all/accuracy"": 0.5843943357467651, ""all/exact_accuracy"": 0.0, ""all/lm_loss"": 0.9752938747406006, ""all/q_halt_accuracy"": 1.0, ""all/q_halt_loss"": 1.2665987014770508e-07, ""all/steps"": 16.0}",progress_h384_d18.jsonl,pw_h384_d18.csv
384,36,2.666,95.976,311.5,126.1,10.4898,"{""all/accuracy"": 0.42406925559043884, ""all/exact_accuracy"": 0.0, ""all/lm_loss"": 1.5465630292892456, ""all/q_halt_accuracy"": 1.0, ""all/q_halt_loss"": 8.802581578493118e-05, ""all/steps"": 16.0}",progress_h384_d36.jsonl,pw_h384_d36.csv
