task,tag,hidden,D_eff,seed,metric,target_pct,target_origin,reached,step_at_target,net_Wh_at_target,final_net_Wh
Sudoku-Extreme,h512_d9_recipe_b192_s2,512,9,2,exact_accuracy,49.67,best accuracy of the non-recursive baseline,yes,32000,255.61,399.91
Sudoku-Extreme,h512_d9_recipe_b192_s2,512,9,2,exact_accuracy,50.07,best accuracy of D_eff=18,yes,32000,255.61,399.91
Sudoku-Extreme,h512_d9_recipe_b192_s2,512,9,2,exact_accuracy,36.26,best accuracy of D_eff=36,yes,20000,159.72,399.91
Sudoku-Extreme,h512_transformers_baseline_b192_s0,512,none,0,exact_accuracy,50,"50% exact, the headline target",yes,100000,383.53,383.57
Sudoku-Extreme,h512_transformers_baseline_b192_s0,512,none,0,exact_accuracy,49.67,best accuracy of the non-recursive baseline,yes,100000,383.53,383.57
Sudoku-Extreme,h512_transformers_baseline_b192_s0,512,none,0,exact_accuracy,50.07,best accuracy of D_eff=18,yes,100000,383.53,383.57
Sudoku-Extreme,h512_transformers_baseline_b192_s0,512,none,0,exact_accuracy,36.26,best accuracy of D_eff=36,yes,36000,138.04,383.57
Sudoku-Extreme,h512_transformers_baseline_b192_s1,512,none,1,exact_accuracy,50,"50% exact, the headline target",yes,84000,322.84,384.43
Sudoku-Extreme,h512_transformers_baseline_b192_s1,512,none,1,exact_accuracy,49.67,best accuracy of the non-recursive baseline,yes,76000,292.05,384.43
Sudoku-Extreme,h512_transformers_baseline_b192_s1,512,none,1,exact_accuracy,50.07,best accuracy of D_eff=18,yes,84000,322.84,384.43
Sudoku-Extreme,h512_transformers_baseline_b192_s1,512,none,1,exact_accuracy,36.26,best accuracy of D_eff=36,yes,40000,153.46,384.43
Sudoku-Extreme,h512_transformers_baseline_b192_s2,512,none,2,exact_accuracy,50,"50% exact, the headline target",no,,,384.08
Sudoku-Extreme,h512_transformers_baseline_b192_s2,512,none,2,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,384.08
Sudoku-Extreme,h512_transformers_baseline_b192_s2,512,none,2,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,384.08
Sudoku-Extreme,h512_transformers_baseline_b192_s2,512,none,2,exact_accuracy,36.26,best accuracy of D_eff=36,yes,40000,153.88,384.08
Sudoku-Extreme,h768_d18_recipe_b128_s0,768,18,0,exact_accuracy,50,"50% exact, the headline target",no,,,315.16
Sudoku-Extreme,h768_d18_recipe_b128_s0,768,18,0,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,315.16
Sudoku-Extreme,h768_d18_recipe_b128_s0,768,18,0,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,315.16
Sudoku-Extreme,h768_d18_recipe_b128_s0,768,18,0,exact_accuracy,36.26,best accuracy of D_eff=36,yes,13914,227.18,315.16
Sudoku-Extreme,h768_d18_recipe_b128_s1,768,18,1,exact_accuracy,50,"50% exact, the headline target",no,,,313.72
Sudoku-Extreme,h768_d18_recipe_b128_s1,768,18,1,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,313.72
Sudoku-Extreme,h768_d18_recipe_b128_s1,768,18,1,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,313.72
Sudoku-Extreme,h768_d18_recipe_b128_s1,768,18,1,exact_accuracy,36.26,best accuracy of D_eff=36,yes,16233,263.73,313.72
Sudoku-Extreme,h768_d18_recipe_b128_s2,768,18,2,exact_accuracy,50,"50% exact, the headline target",no,,,311.30
Sudoku-Extreme,h768_d18_recipe_b128_s2,768,18,2,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,311.30
Sudoku-Extreme,h768_d18_recipe_b128_s2,768,18,2,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,311.30
Sudoku-Extreme,h768_d18_recipe_b128_s2,768,18,2,exact_accuracy,36.26,best accuracy of D_eff=36,yes,15460,249.04,311.30
Maze-Hard,h256_d18_recipe_b48_s0,256,18,0,accuracy,86.8,best token accuracy of D_eff=18,yes,1916,48.19,302.20
Maze-Hard,h256_d18_recipe_b48_s1,256,18,1,accuracy,86.8,best token accuracy of D_eff=18,no,,,308.20
Maze-Hard,h256_d18_recipe_b48_s2,256,18,2,accuracy,86.8,best token accuracy of D_eff=18,yes,1916,49.11,307.81
Maze-Hard,h256_d18_recipe_b48_s3,256,18,3,accuracy,86.8,best token accuracy of D_eff=18,no,,,300.23
Maze-Hard,h256_d18_recipe_b48_s4,256,18,4,accuracy,86.8,best token accuracy of D_eff=18,no,,,298.17
Maze-Hard,h256_d36_recipe_b24_s0,256,36,0,accuracy,86.8,best token accuracy of D_eff=18,no,,,326.47
Maze-Hard,h256_d36_recipe_b24_s1,256,36,1,accuracy,86.8,best token accuracy of D_eff=18,no,,,327.34
Maze-Hard,h256_d36_recipe_b24_s2,256,36,2,accuracy,86.8,best token accuracy of D_eff=18,no,,,329.33
Maze-Hard,h256_d36_recipe_b24_s3,256,36,3,accuracy,86.8,best token accuracy of D_eff=18,no,,,318.70
Maze-Hard,h256_d36_recipe_b24_s4,256,36,4,accuracy,86.8,best token accuracy of D_eff=18,yes,5038,139.49,316.82
Maze-Hard,h256_d9_recipe_b48_s0,256,9,0,accuracy,86.8,best token accuracy of D_eff=18,no,,,312.98
Maze-Hard,h256_d9_recipe_b48_s1,256,9,1,accuracy,86.8,best token accuracy of D_eff=18,no,,,318.77
Maze-Hard,h256_d9_recipe_b48_s2,256,9,2,accuracy,86.8,best token accuracy of D_eff=18,yes,1916,25.50,318.00
Maze-Hard,h256_d9_recipe_b48_s3,256,9,3,accuracy,86.8,best token accuracy of D_eff=18,no,,,312.29
Maze-Hard,h256_d9_recipe_b48_s4,256,9,4,accuracy,86.8,best token accuracy of D_eff=18,no,,,309.85
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s0,256,18,0,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,6078,159.31,284.93
