source,tag,hidden,D_eff,seed,step,exact_pct,token_pct,lm_loss
budget,h128_d18,128,18,0,30000,13.2812,68.7645,0.7235486507415771
budget,h128_d18_s0,128,18,0,2000,0.0,58.9072,0.9982679486274719
budget,h128_d18_s0,128,18,0,4000,1.3672,64.4507,0.8461961150169373
budget,h128_d18_s0,128,18,0,6000,3.125,65.6805,0.8045268654823303
budget,h128_d18_s0,128,18,0,8000,3.125,67.1996,0.7615164518356323
budget,h128_d18_s0,128,18,0,10000,7.0312,67.9543,0.7515457272529602
budget,h128_d18_s0,128,18,0,12000,3.3203,67.1947,0.7570459842681885
budget,h128_d18_s0,128,18,0,14000,6.6406,66.5123,0.7849671840667725
budget,h128_d18_s0,128,18,0,16000,9.1797,68.0097,0.7472440004348755
budget,h128_d18_s0,128,18,0,18000,8.9844,68.0001,0.7343898415565491
budget,h128_d18_s0,128,18,0,20000,7.4219,67.718,0.7473310232162476
budget,h128_d18_s0,128,18,0,22000,14.6484,69.5698,0.7165879011154175
budget,h128_d18_s0,128,18,0,24000,14.2578,67.9326,0.7941031455993652
budget,h128_d18_s0,128,18,0,26000,4.2969,68.4173,0.7314586639404297
budget,h128_d18_s0,128,18,0,28000,9.5703,68.8079,0.7231947779655457
budget,h128_d18_s0,128,18,0,30000,13.2812,68.7645,0.7235486507415771
budget,h128_d18_s1,128,18,1,2000,0.0,58.4563,1.0090184211730957
budget,h128_d18_s1,128,18,1,4000,2.3438,64.1638,0.8519721627235413
budget,h128_d18_s1,128,18,1,6000,2.5391,65.8661,0.7845392823219299
budget,h128_d18_s1,128,18,1,8000,3.125,67.2454,0.7545101642608643
budget,h128_d18_s1,128,18,1,10000,2.9297,66.821,0.7545114159584045
budget,h128_d18_s1,128,18,1,12000,2.5391,66.8523,0.758699893951416
budget,h128_d18_s1,128,18,1,14000,10.9375,68.2653,0.7439908981323242
budget,h128_d18_s1,128,18,1,16000,8.7891,67.9398,0.7422575354576111
budget,h128_d18_s1,128,18,1,18000,7.6172,68.0966,0.7446000576019287
budget,h128_d18_s1,128,18,1,20000,8.3984,68.2099,0.7346330881118774
budget,h128_d18_s1,128,18,1,22000,10.7422,68.0724,0.7614004611968994
budget,h128_d18_s1,128,18,1,24000,9.5703,67.636,0.7619150876998901
budget,h128_d18_s1,128,18,1,26000,10.1562,68.9067,0.7214238047599792
budget,h128_d18_s1,128,18,1,28000,7.0312,67.4262,0.7609633207321167
budget,h128_d18_s1,128,18,1,30000,7.8125,67.9495,0.7433865666389465
budget,h128_d18_s2,128,18,2,2000,0.0,58.314,1.016510009765625
budget,h128_d18_s2,128,18,2,4000,0.7812,63.3391,0.8547101020812988
