tag,hidden,D_eff,batch,accum,eff_batch,ema,steps_target,wall_s,best_exact_pct,final_exact_pct,final_token_pct,best_token_pct,smi_net_Wh,cc_gpu_Wh,gross_agree_pct
h256_d36_recipe_b24_s0,256,36,24,2,48,True,6000,6225.8,0.0,0.0,61.7723,62.5261,267.5799,272.7291,98.91
h256_d36_recipe_b24_s1,256,36,24,2,48,True,6000,6226.7,0.0,0.0,62.6164,62.7651,267.9978,273.1871,98.93
h256_d36_recipe_b24_s2,256,36,24,2,48,True,6000,6228.0,0.2387,0.2387,62.4026,62.5482,268.017,273.2677,98.95
h256_d36_recipe_b24_s3,256,36,24,2,48,True,6000,6226.5,0.2387,0.0,61.3102,62.3688,268.0269,273.2275,98.93
h256_d36_recipe_b24_s4,256,36,24,2,48,True,6000,6225.5,0.0,0.0,62.3113,62.3874,267.5327,272.7543,98.94
