tag,hidden,D_eff,batch,accum,eff_batch,ema,steps_target,wall_s,best_exact_pct,final_exact_pct,final_token_pct,best_token_pct,smi_net_Wh,cc_gpu_Wh,gross_agree_pct
h256_d36_recipe_b24_s0,256,36,24,2,48,True,6000,6764.8,0.0,0.0,27.4943,29.3742,289.5869,295.0543,98.87
h256_d36_recipe_b24_s1,256,36,24,2,48,True,6000,6740.1,0.0,0.0,25.1831,28.6743,290.2482,295.6723,98.86
h256_d36_recipe_b24_s2,256,36,24,2,48,True,6000,6742.7,0.0,0.0,25.533,27.2502,290.5274,295.9765,98.87
h256_d36_recipe_b24_s3,256,36,24,2,48,True,6000,6743.3,0.0,0.0,25.5656,29.3579,290.4165,295.9292,98.89
h256_d36_recipe_b24_s4,256,36,24,2,48,True,6000,6738.9,0.0,0.0,25.3337,27.653,290.3983,295.8928,98.89
