tag,task,hidden,D_eff,seed,wall_s,exact_pct,token_pct,lm_loss,smi_gross_Wh,smi_net_Wh,mean_W,cc_gpu_Wh,gross_agree_pct
h128_d9_s0,maze,128,9,0,3372.2,0.0,84.1479,0.7709430456161499,149.9192,145.5167,160.01,148.3679,98.96
h128_d18_s0,maze,128,18,0,5816.4,0.0,82.9088,0.9301448464393616,261.2525,253.6599,161.7,258.4962,98.94
h128_d36_s0,maze,128,36,0,31.1,0,0,,0.2078,0.1673,24.11,0.1994,95.89
h128_d9_s1,maze,128,9,1,3371.6,0.0,83.6906,0.9228621125221252,149.6941,145.2934,159.84,148.1527,98.96
h128_d18_s1,maze,128,18,1,5815.4,0.0,83.7438,0.8590415120124817,260.8478,253.2559,161.46,258.1144,98.95
h128_d36_s1,maze,128,36,1,30.9,0,0,,0.1955,0.1563,23.45,0.1983,98.59
h128_d9_s2,maze,128,9,2,3371.6,0.0,85.799,0.7518332600593567,149.156,144.7554,159.27,147.634,98.97
h128_d18_s2,maze,128,18,2,5814.1,0.0,83.4848,0.8728389739990234,260.1629,252.573,161.08,257.5143,98.98
h128_d36_s2,maze,128,36,2,31.0,0,0,,0.1999,0.1607,23.96,0.1982,99.14
